,field1,field2,name,field4,field5,field6,_GC_TYPE,longitude,latitude,행정동
0,4,도서관,강서영어도서관,서울특별시 강서구 곰달래로57가길 26,37.53468572,126.8608018,정,126.86080175896996,37.5346859015048,화곡제4동
1,1,도서관,푸른들청소년도서관,서울특별시 강서구 강서로45다길 71,37.54467538,126.835182,정,126.83518230066414,37.5446755651484,화곡제3동
2,2,도서관,곰달래도서관,"서울특별시 강서구 강서로5길 50 (곰달래문화복지센터 5, 6층)",37.52905938,126.8488976,정,126.84889761708855,37.52905955790666,화곡제8동
3,3,도서관,등빛도서관,서울특별시 강서구 강서로62길 48,37.56245409,126.8423739,정,126.84237392811936,37.56245426842891,등촌제3동
5,5,도서관,꿈꾸는어린이도서관,서울특별시 강서구 공항대로 615,37.54733669,126.8733189,정,126.87331877463568,37.54733668689492,염창동
6,6,도서관,길꽃어린이도서관,서울특별시 강서구 금낭화로24길 5,37.57871971,126.8136582,정,126.81365813045926,37.57871952914356,방화제3동
7,9,도서관,우장산숲속도서관,서울특별시 강서구 우현로 34,37.54828757,126.8418355,정,126.84183547945818,37.548287567708336,우장산동
8,8,도서관,가양도서관,서울특별시 강서구 양천로61길101(가양동 1493),37.55994851,126.8655346,유,126.86770322227328,37.560003985206514,가양제3동
9,7,도서관,서울특별시교육청강서도서관,서울특별시 강서구 등촌로51나길 29,37.5479003,126.8599262,정,126.85992638150798,37.54790029646035,등촌제2동
23,24,근린공원,우장,서울특별시 강서구 화곡동 산60-1,37.55282,126.843808,정,126.84355308227424,37.55040117711938,우장산동
24,25,근린공원,궁산,서울특별시 강서구 가양동 산4-7,37.574254,126.841332,정,126.84080559468454,37.57415990824999,가양제1동
25,29,근린공원,개화,서울특별시 강서구 개화동 산17,37.588011,126.805798,정,126.80552237057336,37.58804359854139,방화제2동
26,26,근린공원,염창,서울특별시 강서구 염창동 산24-1,37.5577647721,126.8687918464,정,126.86883748830226,37.55790496461668,염창동
27,28,근린공원,봉제산,서울특별시 강서구 화곡동 산1,37.540731,126.858825,정,126.85860958884514,37.541087932702986,화곡제4동
29,27,근린공원,꿩고개,서울특별시 강서구 방화동 산97-1,37.578139,126.816895,정,126.81692959088576,37.57814837894353,방화제3동
30,31,근린공원,공암나루,서울특별시 강서구 가양동 1459-9,37.570635,126.849087,정,126.85034296288542,37.56989714630309,가양제2동
31,30,근린공원,등마루,서울특별시 강서구 화곡동 산199,37.5525208732,126.8551523059,정,126.8551782887436,37.55254218113785,화곡제6동
32,32,근린공원,구암,서울특별시 강서구 가양동 1471,37.567599,126.853729,정,126.85265942091702,37.56778213380518,가양제2동
33,34,근린공원,원당,서울특별시 강서구 등촌동 690-5,37.559782,126.842567,정,126.84202892957556,37.55978019975374,등촌제3동
34,35,근린공원,등촌,서울특별시 강서구 등촌동 687-4,37.563683,126.841391,정,126.8417693245492,37.56341036045412,등촌제3동
36,36,근린공원,서낭당,서울특별시 강서구 등촌동 706,37.558865,126.849984,정,126.85001876518982,37.55858294745027,등촌3동
37,38,근린공원,옹기골,서울특별시 강서구 방화동 842,37.573562,126.821695,정,126.8210010660326,37.57390763169853,방화3동
38,33,근린공원,황금내,서울특별시 강서구 가양동 1485-5,37.561783,126.864104,정,126.86444410268804,37.561711360414094,가양3동
39,41,근린공원,수명산,서울특별시 강서구 내발산동 748,37.550967,126.829893,정,126.82769826758395,37.549617400535766,발산1동
40,37,근린공원,방화,서울특별시 강서구 방화동 855,37.580907,126.81412,정,126.81207722177422,37.581666120589446,방화3동
41,40,근린공원,까치산,서울특별시 강서구 화곡동 산162-1,37.536938,126.843936,정,126.84406603542756,37.53673879712749,화곡8동
42,42,근린공원,발산,서울특별시 강서구 내발산동 739,37.55454,126.825837,정,126.82537094813682,37.55497252054781,발산1동
44,49,어린이공원,등서,서울특별시 강서구 등촌동 639-2,37.559235,126.854759,정,126.85462054444162,37.55916163294077,등촌1동
45,46,어린이공원,이수,서울특별시 강서구 염창동 281-3,37.548299,126.874234,정,126.87437857653316,37.548273177920265,염창동
46,48,어린이공원,아리수,서울특별시 강서구 염창동 299-3,37.551693,126.875286,정,126.87528690527203,37.55170380491333,염창동
49,51,어린이공원,등마루,서울특별시 강서구 등촌동 641-5,37.556036,126.857412,정,126.85741265622848,37.556037580675394,등촌1동
50,50,어린이공원,백석,서울특별시 강서구 등촌동 646-41,37.55261,126.863328,정,126.86349023204122,37.5526195870278,등촌1동
51,47,어린이공원,백합,서울특별시 강서구 염창동 267-24,37.551163,126.869438,정,126.86945723845947,37.55114907298899,염창동
52,52,어린이공원,도림,서울특별시 강서구 등촌동 635-1,37.555596,126.862861,정,126.86288734534372,37.55560274736867,등촌1동
53,54,어린이공원,한마음,서울특별시 강서구 등촌동 690-3,37.560521,126.843248,정,126.84311398924446,37.56066528457745,등촌3동
54,59,어린이공원,새벗,서울특별시 강서구 등촌동 688-3,37.560711,126.840304,정,126.84030007345476,37.56070238449663,등촌3동
55,56,어린이공원,백합,서울특별시 강서구 등촌동 695-4,37.559219,126.844996,정,126.84500498853822,37.55924953227089,등촌3동
56,53,어린이공원,능안,서울특별시 강서구 등촌동 517-1,37.546638,126.859908,정,126.86005689147385,37.54648837879494,등촌2동
57,58,어린이공원,푸르매,서울특별시 강서구 등촌동 705-3,37.559023,126.847504,정,126.84751684921925,37.55905065818395,등촌3동
58,55,어린이공원,새나라,서울특별시 강서구 등촌동 707-2,37.561557,126.852004,정,126.85203718111606,37.5615657095993,등촌3동
59,61,어린이공원,구름,서울특별시 강서구 화곡동 98-22,37.543303,126.844116,정,126.8440379462916,37.54333105502923,화곡본동
60,60,어린이공원,코끼리,서울특별시 강서구 등촌동 702-1,37.563238,126.848535,정,126.8485540147479,37.56323273616603,등촌3동
61,57,어린이공원,채송화,서울특별시 강서구 등촌동 694-1,37.562841,126.846117,정,126.84605472339472,37.562761869266446,등촌3동
62,64,어린이공원,까치산,서울특별시 강서구 화곡동 102-206,37.53828,126.844436,정,126.84447978699072,37.538290026280144,화곡본동
63,62,어린이공원,볏골,서울특별시 강서구 화곡동 98-99,37.541815,126.844354,정,126.84438855066072,37.54147776463459,화곡본동
64,69,어린이공원,산새,서울특별시 강서구 화곡동 772,37.546268,126.850385,정,126.8504175934087,37.546280740721286,화곡본동
65,66,어린이공원,큰별,서울특별시 강서구 화곡동 46-41,37.544454,126.848941,정,126.8489550110404,37.54448338362116,화곡본동
66,63,어린이공원,노을,서울특별시 강서구 화곡동 105-194,37.539837,126.843928,정,126.8439542342279,37.53986272388941,화곡본동
67,68,어린이공원,소나무,서울특별시 강서구 화곡동 29-31,37.547058,126.847807,정,126.84784947539252,37.54707402080767,화곡본동
68,65,어린이공원,비둘기,서울특별시 강서구 화곡동 61-96,37.541392,126.846938,정,126.84698095190092,37.54136895639561,화곡본동
69,71,어린이공원,참새,서울특별시 강서구 화곡동 56-638,37.539725,126.847003,정,126.84705685496787,37.53971645067032,화곡본동
70,70,어린이공원,박장,서울특별시 강서구 화곡동 56-25,37.540768,126.849087,정,126.84909526839448,37.54073708036214,화곡본동
71,67,어린이공원,꿈돌이,서울특별시 강서구 화곡동 24-128,37.546097,126.845352,정,126.84536579507656,37.545899383379314,화곡본동
72,74,어린이공원,버들,서울특별시 강서구 화곡동 424-45,37.531101,126.841222,정,126.84124581360206,37.53110879819455,화곡1동
73,72,어린이공원,한글,서울특별시 강서구 화곡동 56-3,37.538536,126.850451,정,126.85051150072351,37.53852193931199,화곡본동
74,79,어린이공원,골말,서울특별시 강서구 화곡동 865-1,37.533313,126.85605,정,126.85609429731626,37.53324810409543,화곡2동
75,76,어린이공원,다운,서울특별시 강서구 화곡동 346-26,37.532101,126.844653,정,126.84467150985186,37.53208065462507,화곡1동
76,73,어린이공원,효심,서울특별시 강서구 화곡동 922-10,37.529495,126.840632,정,126.84069196378522,37.52952397174219,화곡1동
77,78,어린이공원,곰돌이,서울특별시 강서구 화곡동 900-46,37.529614,126.845017,정,126.84501909841435,37.52956680684257,화곡1동
78,75,어린이공원,필마,서울특별시 강서구 화곡동 355-12,37.531491,126.83882,정,126.83881102687192,37.53149845828475,화곡1동
79,81,어린이공원,하마터,서울특별시 강서구 화곡동 883-3,37.530115,126.853739,정,126.85364922092124,37.53000602286463,화곡2동
80,80,어린이공원,뜸부기,서울특별시 강서구 화곡동 845-19,37.530115,126.856902,정,126.85694560086088,37.5301369300801,화곡2동
81,77,어린이공원,호돌이,서울특별시 강서구 화곡동 906-26,37.528191,126.846009,정,126.84604340265469,37.52822733303455,화곡1동
82,84,어린이공원,수명산,서울특별시 강서구 화곡동 1044-31,37.540958,126.834336,정,126.83444523681302,37.54084002848952,화곡3동
83,82,어린이공원,바탕골,서울특별시 강서구 화곡동 1016-34,37.5447,126.834711,정,126.8347758359252,37.54457423005768,화곡3동
84,89,어린이공원,무지개,서울특별시 강서구 화곡동806-10,37.533937,126.861301,정,126.8613076730094,37.533971000675415,화곡4동
85,86,어린이공원,천사,서울특별시 강서구 화곡동 1139-1,37.54683,126.833001,정,126.8330030386095,37.546903628985504,화곡3동
