,행정동,키즈카페수,p_l,sub_num,정류소수,유치원명,혼합학급수,특수학급수,혼합유아수,특수유아수,학급수,유아수,만3~5세유아수,만3~5세학급수,어린이집_어린이수,0~9세_아동수,초등학교명,일반수급자 기초생활수급권자수,시설수급자 기초생활수급권자수,전체 기초생활수급자수,결혼이민자,귀화자,귀화 및 외국국적 자녀,국내출생,외국인,18세미만 차상위수급권자수,전체 차상위수급권자수
0,가양제1동,11,0.0001053936170212,3,249,3,0,0,0,0,12,217,217,12,830,1458,1.0,230,4,234,74,43,0,50,5,45,212
1,가양제2동,3,5.314e-05,1,91,3,0,1,0,4,10,165,165,10,198,452,2.0,2983,5,2988,39,39,0,49,0,70,643
2,가양제3동,2,5.623232323232323e-05,0,33,4,0,0,0,0,18,364,364,18,174,693,1.0,2127,3,2130,61,59,0,49,10,85,633
3,공항동,4,2.3905555555555555e-05,3,142,4,0,1,0,5,13,221,221,13,745,3177,2.0,870,2,872,129,199,13,176,27,338,1048
4,등촌제1동,3,0.0002305084745762,2,118,1,0,0,0,0,6,141,141,6,358,1281,1.0,227,0,227,55,40,0,47,8,40,143
5,등촌제2동,4,0.0001044673913043,0,64,2,0,0,0,0,7,129,129,7,220,1059,2.0,344,13,357,44,38,0,48,6,69,266
6,등촌제3동,9,0.0002236708860759,0,128,5,1,0,9,0,21,379,379,21,447,1505,5.0,5392,16,5408,80,104,5,82,13,157,1098
7,발산제1동,5,0.0001012413793103,0,157,4,0,2,0,10,32,783,783,32,599,2640,3.0,1205,12,1217,72,64,0,144,12,258,882
8,방화제1동,6,0.0001365961538461,1,130,4,0,2,0,10,22,410,410,22,824,3407,3.0,913,11,924,85,107,0,158,11,223,710
9,방화제2동,5,2.48408736349454e-05,3,74,4,2,1,25,4,14,247,247,14,342,1080,1.0,1345,12,1357,83,94,6,85,10,130,527
10,방화제3동,8,3.614705882352941e-05,1,49,3,0,0,0,0,11,192,192,11,389,1137,3.0,1947,2,1949,69,52,0,78,14,108,549
11,염창동,3,0.0001187816091954,1,37,1,0,0,0,0,3,62,62,3,878,3637,3.0,179,0,179,62,28,0,75,5,42,162
12,우장산동,7,0.0001455514705882,1,109,5,0,0,0,0,21,349,349,21,611,3158,1.0,425,5,430,77,61,0,111,12,97,351
13,화곡본동,12,0.0001147027027027,0,76,4,0,0,0,0,10,179,179,10,664,1705,2.0,1437,15,1452,144,179,13,171,50,345,1054
14,화곡제1동,10,0.0001805357142857,1,89,3,1,1,5,3,7,105,105,7,652,2203,2.0,1609,9,1618,268,437,26,261,100,224,847
15,화곡제2동,2,0.0001364255319148,0,39,2,0,0,0,0,9,141,141,9,371,923,1.0,808,0,808,62,136,11,93,23,186,604
16,화곡제3동,3,0.0001937058823529,0,45,1,0,0,0,0,7,155,155,7,405,1071,,532,23,555,37,71,5,49,9,89,285
17,화곡제4동,6,9.865853658536584e-05,0,48,4,0,1,0,4,12,164,164,12,338,939,1.0,850,2,852,84,132,9,103,32,171,557
18,화곡제6동,2,0.0001305135135135,0,88,2,0,0,0,0,11,224,224,11,228,1035,3.0,800,5,805,74,86,0,94,18,102,413
19,화곡제8동,4,0.0001570188679245,1,42,1,0,0,0,0,6,105,105,6,255,1032,,820,5,825,93,183,17,125,38,197,696
